Id,Nombre,Sexo,RUT,Fecha Nacimiento,Dirección,Correo,AFP,APV,Saldo AFP,Saldo APV,Inicio cotizaciones,Última cotización
1,Dante Booth,M,6751759-1,19/07/1965,881 4th Dr.Williamstown NJ 08094,DanteBooth@gmail.com,Planvital,True,31879416,29906770,22/06/1983,23/08/2019
2,Germaine Tillman,F,6610321-K,28/08/1962,9588 Riverside St.Clifton Park NY 12065,GermaineTillman@gmail.com,Planvital,False,24581311,0,30/09/1982,30/05/2020
3,Devin Gardner,M,10231340-K,18/01/1974,149 Snake Hill Rd.Atlantic City NJ 08401,DevinGardner@gmail.com,Capital,True,16240514,14839518,30/04/1992,22/03/2019
4,Giacomo Justice,F,7954161-4,15/11/1964,9206 Whitemarsh St.Pewaukee WI 53072,GiacomoJustice@gmail.com,Capital,False,7006574,0,01/06/1983,21/05/2019
5,Sharon Stewart,M,7049091-1,26/07/1968,513 Locust AvenuePhillipsburg NJ 08865,SharonStewart@gmail.com,Capital,True,23932887,35110592,14/05/1988,05/05/2016
6,Howard Molina,F,13407637-K,27/03/1988,403 Brook St.Panama City FL 32404,HowardMolina@gmail.com,Cuprum,True,1585758,16162881,17/01/2006,09/08/2016
7,Connor Brooks,M,17451494-K,02/12/1984,9160 Marlborough Ave.Middle River MD 21220,ConnorBrooks@gmail.com,Habitat,False,15215351,0,17/05/2003,15/12/2019
8,Jordan Elliott,M,15490775-K,25/09/1990,66 South Colonial CourtBrunswick GA 31525,JordanElliott@gmail.com,Habitat,False,16223202,0,30/04/2010,18/01/2016
9,Zephania Mcguire,M,8081126-K,12/10/1977,7986 Homestead Ave.Temple Hills MD 20748,ZephaniaMcguire@gmail.com,Habitat,True,12245370,7631471,17/10/1995,03/01/2018
10,Sarah Owen,F,19683574-4,23/04/1985,91 Lafayette Dr.Euless TX 76039,SarahOwen@gmail.com,Provida,False,14198772,0,29/11/2005,02/07/2017
11,Rylee Gonzalez,M,7145749-6,24/04/1970,36 Peachtree St.Aberdeen SD 57401,RyleeGonzalez@gmail.com,Provida,False,31371475,0,17/07/1990,29/06/2016
12,Melinda Foreman,M,13870566-8,05/03/1992,66 SW. Glen Eagles Ave.Waukegan IL 60085,MelindaForeman@gmail.com,Modelo,False,19635727,0,29/09/2010,28/02/2020
13,Belle Finch,M,19510967-9,06/05/1992,61 Manchester LaneChicago IL 60621,BelleFinch@gmail.com,Provida,False,13206542,0,15/06/2011,26/11/2018
14,Mason Hansen,M,6991463-K,02/01/1968,599 Fremont Ave.Groton CT 06340,MasonHansen@gmail.com,Capital,True,19251293,23078468,12/09/1988,28/04/2017
15,Lars Sharpe,M,13137853-K,31/07/1989,464 Princess Ave.Simpsonville SC 29680,LarsSharpe@gmail.com,Provida,False,12306471,0,14/10/2007,10/09/2017
16,Baker Grimes,M,14967023-0,29/05/1983,972 E. Park LaneMount Prospect IL 60056,BakerGrimes@gmail.com,Capital,True,16996900,8563102,20/06/2002,07/05/2020
17,Giacomo Garcia,M,11569756-5,07/12/1979,302 Pulaski CourtDekalb IL 60115,GiacomoGarcia@gmail.com,Capital,False,7005264,0,14/03/1998,07/08/2017
18,Jarrod Finch,F,14338355-2,27/10/1986,222 Pennington St.Kennewick WA 99337,JarrodFinch@gmail.com,Habitat,False,17307462,0,20/08/2005,28/07/2016
19,Bertha Bernard,M,16614615-K,14/04/1982,8587 Sage LaneRichmond Hill NY 11418,BerthaBernard@gmail.com,Cuprum,False,1742884,0,09/03/2001,26/11/2017
20,Jerome Rowe,F,9504579-7,16/06/1978,80 S. Gonzales DriveSheboygan WI 53081,JeromeRowe@gmail.com,Habitat,False,1035420,0,27/05/1997,10/03/2018
21,Alexander Schroeder,F,8640434-4,01/11/1977,5 South Tunnel DriveRedford MI 48239,AlexanderSchroeder@gmail.com,Cuprum,True,1138749,10697844,15/08/1995,01/04/2018
22,Ulric Sharpe,M,8401857-2,27/12/1975,8162 Cedar Swamp DriveWisconsin Rapids WI 54494,UlricSharpe@gmail.com,Habitat,False,3624686,0,18/11/1993,02/09/2017
23,Clare Craft,F,10136477-5,09/11/1975,731 Market Dr.Falls Church VA 22041,ClareCraft@gmail.com,Planvital,False,4465648,0,26/03/1995,22/01/2016
24,Devin Brooks,M,7383589-6,27/11/1964,9637 Court StreetFairfax VA 22030,DevinBrooks@gmail.com,Provida,False,23725789,0,29/04/1982,02/02/2020
25,Josephine Hebert,M,9262635-7,19/05/1976,23 Lookout RoadManassas VA 20109,JosephineHebert@gmail.com,Modelo,True,18797492,12571760,20/04/1994,07/12/2019
26,Alfonso Gonzalez,M,8226550-K,24/09/1975,6 Harrison RoadPort Charlotte FL 33952,AlfonsoGonzalez@gmail.com,Planvital,True,15042234,986574,30/03/1995,04/03/2018
27,Andrew Cleveland,F,16032178-3,15/11/1982,7 East Ocean RoadPalmetto FL 34221,AndrewCleveland@gmail.com,Modelo,False,16730218,0,29/03/2001,12/03/2019
28,Fulton Rivera,F,7037034-1,04/07/1963,9322 Sunset DriveCanton GA 30114,FultonRivera@gmail.com,Provida,False,31317662,0,06/05/1982,22/04/2018
29,Patience Cain,F,12974270-K,31/10/1980,96 South Coffee Ave.Ashland OH 44805,PatienceCain@gmail.com,Capital,False,14552795,0,14/04/1999,23/04/2020
30,Lars Craig,F,9853267-3,07/11/1972,512 East Ashley StreetPrinceton NJ 08540,LarsCraig@gmail.com,Planvital,False,9734367,0,06/07/1990,13/11/2019
31,Shaine Davenport,F,8881974-5,25/01/1973,6 8th LaneTualatin OR 97062,ShaineDavenport@gmail.com,Habitat,True,2878036,16970158,12/09/1993,29/09/2018
32,Aline Frost,M,6040557-K,11/03/1970,61 Manchester LaneChicago IL 60621,AlineFrost@gmail.com,Habitat,False,15572537,0,14/09/1989,03/03/2016
33,Raja Tyler,F,6027695-7,13/06/1969,409 Clinton St.Fairfield CT 06824,RajaTyler@gmail.com,Modelo,False,38080323,0,22/07/1987,30/08/2019
34,Brenden Rivera,F,15386530-K,10/07/1990,935 Rose StreetValley Stream NY 11580,BrendenRivera@gmail.com,Habitat,True,14315731,7849767,01/09/2009,03/02/2019
35,Holly Kent,F,16671795-5,22/08/1983,437 E. Devonshire Dr.Pompano Beach FL 33060,HollyKent@gmail.com,Habitat,False,15910552,0,24/06/2002,11/01/2016
36,Clark Mcguire,F,7698887-0,16/01/1963,35 Golden Star Rd.Nampa ID 83651,ClarkMcguire@gmail.com,Habitat,True,7307668,6001041,15/12/1982,26/12/2016
37,Josiah George,F,11725032-K,11/02/1973,431 Penn St.Brainerd MN 56401,JosiahGeorge@gmail.com,Capital,False,13494798,0,17/01/1992,22/04/2018
38,Denise Vega,F,19645239-K,05/04/1982,4 St Louis St.Kokomo IN 46901,DeniseVega@gmail.com,Capital,True,7716677,12221747,11/04/2000,06/03/2019
39,Kerry Heath,M,13974290-K,29/11/1986,58 Fulton St.Hicksville NY 11801,KerryHeath@gmail.com,Planvital,False,5675040,0,10/11/2006,11/11/2019
40,Thaddeus Craig,F,9851153-4,19/09/1980,934 W. State St.Spartanburg SC 29301,ThaddeusCraig@gmail.com,Provida,False,19618380,0,10/01/1999,26/08/2020
41,Baker Donaldson,F,14152936-5,28/10/1985,7012 Thatcher AvenueNorth Royalton OH 44133,BakerDonaldson@gmail.com,Modelo,False,12064106,0,12/01/2004,24/02/2020
42,Jocelyn Finley,M,9768629-0,31/03/1978,342 Edgewater Rd.Chapel Hill NC 27516,JocelynFinley@gmail.com,Cuprum,True,16087920,9771430,22/12/1996,12/09/2019
43,Jesse Sweeney,M,8847729-4,25/09/1978,21 Studebaker St.Lake Worth FL 33460,JesseSweeney@gmail.com,Planvital,False,18006907,0,22/01/1997,21/11/2018
44,Sybill Decker,F,6226777-K,01/03/1969,71 Holly StreetBurnsville MN 55337,SybillDecker@gmail.com,Modelo,True,26670926,39041215,01/02/1988,23/09/2016
45,Mechelle Love,F,15084774-K,14/05/1993,850 Glenholme AvenuePrattville AL 36067,MechelleLove@gmail.com,Modelo,True,7233702,5632736,26/06/2013,19/03/2019
46,Elmo Heath,M,7020501-8,28/07/1968,553 W. Wellington Dr.Reston VA 20191,ElmoHeath@gmail.com,Capital,True,30231232,35364091,23/01/1987,04/10/2018
47,Drew Molina,F,17321385-K,28/05/1982,512 East Ashley StreetPrinceton NJ 08540,DrewMolina@gmail.com,Habitat,False,14693481,0,11/09/2001,06/01/2018
48,Zephania Hebert,M,19363302-1,21/12/1989,547 Fairway St.Chicopee MA 01020,ZephaniaHebert@gmail.com,Planvital,False,14759579,0,28/03/2009,22/04/2017
49,Ina Higgins,F,15022554-K,05/05/1985,164 Lincoln DriveRolla MO 65401,InaHiggins@gmail.com,Habitat,False,10675772,0,10/02/2003,08/01/2020
50,Alfonso Wagner,F,14497077-K,25/04/1992,637 Chestnut DriveLynnwood WA 98037,AlfonsoWagner@gmail.com,Capital,False,397186,0,14/06/2012,14/09/2017
51,Josephine Donaldson,F,16374031-8,21/02/1995,415 Glen Creek St.Maplewood NJ 07040,JosephineDonaldson@gmail.com,Habitat,True,9394115,2754836,11/01/2013,09/07/2018
52,Arthur Wagner,F,14513242-K,09/07/1982,9A Old Rockville Ave.Sewell NJ 08080,ArthurWagner@gmail.com,Planvital,True,15490293,19361622,03/01/2002,18/09/2017
