RUT,Sexo,Nombre,Fecha Nacimiento,Dirección,Correo,AFP,APV,Saldo AFP,Saldo APV,Inicio cotizaciones,Última cotización
6751759-1,M,Dante Booth,19/07/1965,881 4th Dr.Williamstown NJ 08094,DanteBooth@gmail.com,Planvital,True,31879416,29906770,22/06/1983,23/08/2019
6610321-K,F,Germaine Tillman,28/08/1962,9588 Riverside St.Clifton Park NY 12065,GermaineTillman@gmail.com,Planvital,False,24581311,0,30/09/1982,30/05/2020
10231340-K,M,Devin Gardner,18/01/1974,149 Snake Hill Rd.Atlantic City NJ 08401,DevinGardner@gmail.com,Capital,True,16240514,14839518,30/04/1992,22/03/2019
7954161-4,F,Giacomo Justice,15/11/1964,9206 Whitemarsh St.Pewaukee WI 53072,GiacomoJustice@gmail.com,Capital,False,7006574,0,01/06/1983,21/05/2019
7049091-1,M,Sharon Stewart,26/07/1968,513 Locust AvenuePhillipsburg NJ 08865,SharonStewart@gmail.com,Capital,True,23932887,35110592,14/05/1988,05/05/2016
13407637-K,F,Howard Molina,27/03/1988,403 Brook St.Panama City FL 32404,HowardMolina@gmail.com,Cuprum,True,1585758,16162881,17/01/2006,09/08/2016
17451494-K,M,Connor Brooks,02/12/1984,9160 Marlborough Ave.Middle River MD 21220,ConnorBrooks@gmail.com,Habitat,False,15215351,0,17/05/2003,15/12/2019
15490775-K,M,Jordan Elliott,25/09/1990,66 South Colonial CourtBrunswick GA 31525,JordanElliott@gmail.com,Habitat,False,16223202,0,30/04/2010,18/01/2016
8081126-K,M,Zephania Mcguire,12/10/1977,7986 Homestead Ave.Temple Hills MD 20748,ZephaniaMcguire@gmail.com,Habitat,True,12245370,7631471,17/10/1995,03/01/2018
19683574-4,F,Sarah Owen,23/04/1985,91 Lafayette Dr.Euless TX 76039,SarahOwen@gmail.com,Provida,False,14198772,0,29/11/2005,02/07/2017
7145749-6,M,Rylee Gonzalez,24/04/1970,36 Peachtree St.Aberdeen SD 57401,RyleeGonzalez@gmail.com,Provida,False,31371475,0,17/07/1990,29/06/2016
13870566-8,M,Melinda Foreman,05/03/1992,66 SW. Glen Eagles Ave.Waukegan IL 60085,MelindaForeman@gmail.com,Modelo,False,19635727,0,29/09/2010,28/02/2020
19510967-9,M,Belle Finch,06/05/1992,61 Manchester LaneChicago IL 60621,BelleFinch@gmail.com,Provida,False,13206542,0,15/06/2011,26/11/2018
6991463-K,M,Mason Hansen,02/01/1968,599 Fremont Ave.Groton CT 06340,MasonHansen@gmail.com,Capital,True,19251293,23078468,12/09/1988,28/04/2017
13137853-K,M,Lars Sharpe,31/07/1989,464 Princess Ave.Simpsonville SC 29680,LarsSharpe@gmail.com,Provida,False,12306471,0,14/10/2007,10/09/2017
14967023-0,M,Baker Grimes,29/05/1983,972 E. Park LaneMount Prospect IL 60056,BakerGrimes@gmail.com,Capital,True,16996900,8563102,20/06/2002,07/05/2020
11569756-5,M,Giacomo Garcia,07/12/1979,302 Pulaski CourtDekalb IL 60115,GiacomoGarcia@gmail.com,Capital,False,7005264,0,14/03/1998,07/08/2017
14338355-2,F,Jarrod Finch,27/10/1986,222 Pennington St.Kennewick WA 99337,JarrodFinch@gmail.com,Habitat,False,17307462,0,20/08/2005,28/07/2016
16614615-K,M,Bertha Bernard,14/04/1982,8587 Sage LaneRichmond Hill NY 11418,BerthaBernard@gmail.com,Cuprum,False,1742884,0,09/03/2001,26/11/2017
9504579-7,F,Jerome Rowe,16/06/1978,80 S. Gonzales DriveSheboygan WI 53081,JeromeRowe@gmail.com,Habitat,False,1035420,0,27/05/1997,10/03/2018
8640434-4,F,Alexander Schroeder,01/11/1977,5 South Tunnel DriveRedford MI 48239,AlexanderSchroeder@gmail.com,Cuprum,True,1138749,10697844,15/08/1995,01/04/2018
8401857-2,M,Ulric Sharpe,27/12/1975,8162 Cedar Swamp DriveWisconsin Rapids WI 54494,UlricSharpe@gmail.com,Habitat,False,3624686,0,18/11/1993,02/09/2017
10136477-5,F,Clare Craft,09/11/1975,731 Market Dr.Falls Church VA 22041,ClareCraft@gmail.com,Planvital,False,4465648,0,26/03/1995,22/01/2016
7383589-6,M,Devin Brooks,27/11/1964,9637 Court StreetFairfax VA 22030,DevinBrooks@gmail.com,Provida,False,23725789,0,29/04/1982,02/02/2020
9262635-7,M,Josephine Hebert,19/05/1976,23 Lookout RoadManassas VA 20109,JosephineHebert@gmail.com,Modelo,True,18797492,12571760,20/04/1994,07/12/2019
8226550-K,M,Alfonso Gonzalez,24/09/1975,6 Harrison RoadPort Charlotte FL 33952,AlfonsoGonzalez@gmail.com,Planvital,True,15042234,986574,30/03/1995,04/03/2018
16032178-3,F,Andrew Cleveland,15/11/1982,7 East Ocean RoadPalmetto FL 34221,AndrewCleveland@gmail.com,Modelo,False,16730218,0,29/03/2001,12/03/2019
